codigo_pdv;nome_pdv;razao_social;endereco;bairro;cidade;uf;cep;latitude;longitude;created_at;bandeira
37675;S37675 - COLOMBO - RUA GENERAL BACELAR - 321 - RIO GRANDE - RS;;RUA GENERAL BACELAR, 321;CENTRO;RIO GRANDE;RS;96200370;-3.203.168;-5.209.486;2026-02-09 21:05:01.947218+00;COLOMBO
85148;S85148 - COLOMBO - AVENIDA BRASIL - 814 - FOZ DO IGUACU - PR;;AVENIDA BRASIL, 814;CENTRO;FOZ DO IGUACU;PR;85851000;-255.413;-5.458.622;2026-02-09 21:05:02.694969+00;COLOMBO
13757;S09590 - ANGELONI - AVENIDA DOUTOR NEREU RAMOS - 439 - SAO FRANCISCO DO SUL - SC;;AVENIDA DOUTOR NEREU RAMOS, 439;;SAO FRANCISCO DO SUL;SC;89240000;-2.625.539;-4.864.327;2026-02-09 21:05:01.741346+00;HAVAN
28934;S28934 - COLOMBO - AVENIDA PRESIDENTE KENNEDY - 577 - SAO JOSE - SC;;AVENIDA PRESIDENTE KENNEDY, 577;CAMPINAS;SAO JOSE;SC;88101001;-2.759.596;-486.099;2026-02-09 21:05:01.947218+00;COLOMBO
2631;S73484 - COLOMBO - RUA PARANA - 225 - BARRA VELHA - SC;;RUA PARANA, 225;SAO CRISTOVAO;BARRA VELHA;SC;88390000;-2.663.312;-486.836;2026-02-09 21:05:02.063994+00;HAVAN
5025;S05025 - CLIMA RIO - TRAVESSA DIJALMA DUTRA - 164 - BELEM - PA;;Travessa Dijalma Dutra, 164;TELEGRAFO;BELEM;PA;66113010;-143.064;-4.848.959;2026-02-09 21:05:02.384876+00;CLIMA RIO
146;S00146 - UNIAR - RUA BARAO DE CAMPINAS - 690 - SAO PAULO - SP;;Rua Barão De Campinas, 690;CAMPOS ELISEOS;SAO PAULO;SP;1201000;-2.353.523;-466.483;2026-02-09 21:05:01.598207+00;STR
22812;S22812 - COLOMBO - RUA ANDRADAS - 434 - ALEGRETE - RS;;RUA ANDRADAS, 434;PRADO;ALEGRETE;RS;97543110;-2.979.971;-5.581.667;2026-02-09 21:05:01.741346+00;COLOMBO
10644;S10644 - COLOMBO - AVENIDA REVERENDO AMERICO VESPUCIO CABRAL - 358 - VIAMAO - RS;;AVENIDA REVERENDO AMERICO VESPUCIO CABRAL, 358;CENTRO;VIAMAO;RS;94410300;-3.008.279;-5.103.025;2026-02-09 21:05:02.239959+00;COLOMBO
29825;S29825 - COLOMBO - RUA PADRE BIAGGIO SIMONETTI - 275 - FRAIBURGO - SC;;RUA PADRE BIAGGIO SIMONETTI, 275;;FRAIBURGO;SC;89580000;-2.702.573;-5.092.183;2026-02-09 21:05:01.947218+00;COLOMBO
610;S00610 - BHP - AVENIDA BARAO DE TATUI 1578 - SN - SOROCABA - SP;;Avenida Barão De Tatuí 1578;JARDIM VERGUEIRO;SOROCABA;SP;18030000;-2.351.529;-4.746.583;2026-02-09 21:05:02.239959+00;BHP
7277;S07277 - HAVAN - AVENIDA PREFEITO WALDEMAR GRUBBA - 1800 - JARAGUA DO SUL - SC;;AVENIDA PREFEITO WALDEMAR GRUBBA, 1800;VILA LALAU;JARAGUA DO SUL;SC;89256501;-264.792;-4.906.428;2026-02-09 21:05:02.063994+00;HAVAN
5854;S05854 - FRIGELAR - AVENIDA GENERAL CARNEIRO - 914 - SOROCABA - SP;;Avenida General Carneiro, 914 – Vila Lucy;VILA LUCY;SOROCABA;SP;18043004;-2.350.434;-4.747.718;2026-02-09 21:05:02.239959+00;FRIGELAR
9563;S09563 - HAVAN - AVENIDA CORONEL ANTONIO HONORATO VIANA - 1294 - PETROLINA - PE;;AVENIDA CORONEL ANTONIO HONORATO VIANA, 1294;JARDIM MARAVILHA;PETROLINA;PE;56308000;-93.889.751;-405.201.263;2026-02-09 21:05:01.598207+00;HAVAN
2234;S02234 - ANGELONI - RUA BARAO DO RIO BRANCO - 732 - JARAGUA DO SUL - SC;;RUA BARAO DO RIO BRANCO, 732;CENTRO;JARAGUA DO SUL;SC;89251400;-2.649.223;-4.907.608;2026-02-09 21:05:02.063994+00;ANGELONI
14712;S14712 - COLOMBO - AVENIDA PRESIDENTE VARGAS - 249 - ESTANCIA VELHA - RS;;AVENIDA PRESIDENTE VARGAS, 249;CENTRO;ESTANCIA VELHA;RS;93600010;-2.965.227;-5.117.075;2026-02-09 21:05:01.741346+00;COLOMBO
117;S00117 - UNIAR - RUA BERNARDO MASCARENHAS - 323 - BELO HORIZONTE - MG;;Rua Bernardo Mascarenhas, 323;CIDADE JARDIM;BELO HORIZONTE;MG;30380010;-1.993.833;-4.394.867;2026-02-09 21:05:02.576155+00;POLOAR
25919;S09409 - ANGELONI - RUA QUINZE DE NOVEMBRO - 2900 - SAO JOSE DOS PINHAIS - PR;;RUA QUINZE DE NOVEMBRO, 2900;CENTRO;SAO JOSE DOS PINHAIS;PR;83005000;-255.413.664;-491.934.354;2026-02-09 21:05:02.576155+00;COLOMBO
507;S00507 - HAVAN - RUA GENERAL MARIO TOURINHO - 2290 - CURITIBA - PR;;RUA GENERAL MARIO TOURINHO, 2290;BARIGUI;CURITIBA;PR;80740000;-2.543.329;-4.931.155;2026-02-09 21:05:02.694969+00;HAVAN
