código_pdv;nome_pdv;razao_social;status;endereco;bairro;cidade;uf;cep;latitude;longitude;created_at;bandeira
6664;06664 - FRIGELAR - AVENIDA PROF FRANCISCO MORATO - 3205 - SAO PAULO - SP;9,27E+13;1;;;SAO PAULO;SP;5520000;-2.358.911;-467.288;2026-02-09 21:05:02.239959+00;FRIGELAR
4766;04766 - HAVAN - PLAZA SHOPPING SAO JOSE RIO PRETO - SAO JOSE DO RIO PRETO - SP;7,94E+13;1;;JARDIM REDENTOR;SAO JOSE DO RIO PRETO;SP;15085350;-2.082.688;-4.938.729;2026-02-09 21:05:01.598207+00;HAVAN
1805;01805 - LIDER - AVENIDA CEARA - 518 - BELEM - PA;5,05E+12;1;;CANUDOS;BELEM;PA;66070080;-144.775;-4.846.124;2026-02-09 21:05:02.384876+00;LIDER
4053;04053 - CLIMA RIO - RUA MIGUEL DE FRIAS - 254 - NITEROI - RJ;8,82E+12;1;;ICARAI;NITEROI;RJ;24220005;-228.996;-431.121;2026-02-09 21:05:01.598207+00;CLIMA RIO
21760;21760 - COLOMBO - AVENIDA INDEPENDENCIA - 1065 - PALMEIRA DAS MISSOES - RS;8,98E+13;1;;;PALMEIRA DAS MISSOES;RS;98300000;-2.789.912;-5.331.139;2026-02-09 21:05:01.741346+00;COLOMBO
4251;04251 - HAVAN - JOINVILLE GARTEN SHOPPING - JOINVILLE - SC;7,94E+13;1;;BOM RETIRO;JOINVILLE;SC;89223005;-2.625.422;-488.521;2026-02-09 21:05:02.694969+00;HAVAN
7510;07510 - HAVAN - AVENIDA GOVERNADOR JORGE TEIXEIRA - 2900 - PORTO VELHO - RO;7,94E+13;1;;INDUSTRIAL;PORTO VELHO;RO;76821002;-873.882;-6.388.949;2026-02-09 21:05:02.384876+00;HAVAN
6311;06311 - FRIGELAR - AV. CEARA - 2308 - CAMPO GRANDE - MS;9,27E+13;1;;VILA RICA;CAMPO GRANDE;MS;79022391;-204.459.119;-545.946.338;2026-02-09 21:05:02.384876+00;FRIGELAR
17142;17142 - COLOMBO - RUA GAL OSORIO - 650 - PELOTAS - RS;8,98E+13;1;;CENTRO;PELOTAS;RS;96020000;-317.683;-5.234.359;2026-02-09 21:05:01.741346+00;COLOMBO
13919;13919 - HAVAN - AVENIDA CARLOS ARTENCIO - 1002 - MARILIA - SP;7,94E+13;1;;FRAGATA;MARILIA;SP;17519255;-222.307.517;-499.234.947;2026-02-09 21:05:02.780508+00;HAVAN
3487;03487 - FRIGELAR - AVENIDA AIRTON PRETINI - 321 - SAO PAULO - SP;9,27E+13;1;;PENHA;SAO PAULO;SP;3090000;-2.352.744;-4.655.545;2026-02-09 21:05:02.239959+00;FRIGELAR
16187;16187 - HAVAN - RODOVIA BR 316 - 411 - ANANINDEUA - PA;7,94E+13;1;;CENTRO;ANANINDEUA;PA;67030007;-139.689;-4.838.306;2026-02-09 21:05:02.384876+00;HAVAN
13080;13080 - HAVAN - AVENIDA BRASIL LESTE - 2333 - PASSO FUNDO - RS;7,94E+13;1;;PETROPOLIS;PASSO FUNDO;RS;99050073;-2.823.984;-5.237.807;2026-02-09 21:05:01.741346+00;HAVAN
5495;05495 - HAVAN - RUA MARCELINO PIRES - 4118 - DOURADOS - MS;7,94E+13;1;;JARDIM CARAMURU;DOURADOS;MS;79830000;-222.262.062;-547.888.312;2026-02-09 21:05:02.384876+00;HAVAN
9997;09997 - HAVAN - SHOPPING JARDIM NORTE - JUIZ DE FORA - MG;7,94E+13;1;;MARIANO PROCOPIO;JUIZ DE FORA;MG;36080060;-2.173.845;-4.337.237;2026-02-09 21:05:02.576155+00;HAVAN
1093;01093 - RAMSONS - AVENIDA DJALMA BATISTA - 1661 - MANAUS - AM;3,34E+12;1;;SAO GERALDO;MANAUS;AM;69050000;-31.012.147;-600.254.046;2026-02-09 21:05:02.576155+00;RAMSONS
11703;11703 - HAVAN - SHOPPING TAUBATE - TAUBATE - SP;7,94E+13;1;;VILA COSTA;TAUBATE;SP;12040900;-230.228.044;-455.818.434;2026-02-09 21:05:02.780508+00;HAVAN
4459;04459 - FRIGELAR - RUA DINAMARCA - 225 - SAO JOSE DOS CAMPOS - SP;9,27E+13;1;;JARDIM AEROPORTO;SAO JOSE DOS CAMPOS;SP;12231200;-232.120.418;-458.837.429;2026-02-09 21:05:02.239959+00;FRIGELAR
29744;29744 - COLOMBO - AVENIDA AZENHA - 1286 - PORTO ALEGRE - RS;8,98E+13;1;;AZENHA;PORTO ALEGRE;RS;90160007;-3.005.506;-5.121.466;2026-02-09 21:05:01.947218+00;COLOMBO
3202;03202 - SUPERMERCADOSDB - AVENIDA COSME FERREIRA - 2540 - MANAUS - AM;2,30E+13;1;;COROADO;MANAUS;AM;69082230;-30.741.406;-59.949.427;2026-02-09 21:05:02.384876+00;HIPER DB
78796;78796 - COLOMBO - AVENIDA DUQUE DE CAXIAS - 725 - JAGUARUNA - SC;8,98E+13;1;;;JAGUARUNA;SC;88715000;-2.861.722;-4.902.555;2026-02-09 21:05:01.741346+00;COLOMBO
139;00139 - UNIAR - AVENIDA. RUI FRAZAO SOARES - 121 - RIO DE JANEIRO - RJ;1,52E+13;1;;BARRA DA TIJUCA;RIO DE JANEIRO;RJ;22793074;-230.098.639;-433.648.817;2026-02-09 21:05:01.598207+00;POLOAR
